date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:11	1071/1071	---M-Z	200	added ('OK')	image/svg+xml	etag:%2242f-6628ef45-531e262d50a68a6f;gz%22	https://html.themewant.com/studykids/assets/images/icon/play.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/play.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:12	64056/64056	---M--	200	added ('OK')	image/jpeg	etag:%22fa38-6628ef45-e266065db615e5a7;;;%22	https://html.themewant.com/studykids/assets/images/events/events-01.jpg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/events/events-01.jpg	(from https://html.themewant.com/studykids/index-four.html)
10:07:12	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/studykids/assets/images/events/calender.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/events/calender.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:12	63165/63165	---M--	200	added ('OK')	image/jpeg	etag:%22f6bd-6628ef45-e07540d516dcba6b;;;%22	https://html.themewant.com/studykids/assets/images/events/events-02.jpg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/events/events-02.jpg	(from https://html.themewant.com/studykids/index-four.html)
10:07:13	93752/93752	---M--	200	added ('OK')	image/jpeg	etag:%2216e38-6628ef45-f772541b8695282a;;;%22	https://html.themewant.com/studykids/assets/images/events/events-03.jpg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/events/events-03.jpg	(from https://html.themewant.com/studykids/index-four.html)
10:07:13	72172/72172	---M--	200	added ('OK')	image/jpeg	etag:%22119ec-6628ef45-70ef987e9cdd99f1;;;%22	https://html.themewant.com/studykids/assets/images/events/events-04.jpg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/events/events-04.jpg	(from https://html.themewant.com/studykids/index-four.html)
10:07:13	4856/4856	---M--	200	added ('OK')	image/png	etag:%2212f8-6628ef45-a8fbeed8f98b7171;;;%22	https://html.themewant.com/studykids/assets/images/students-feedback/20.png	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/students-feedback/20.png	(from https://html.themewant.com/studykids/index-four.html)
10:07:13	6334/6334	---M-Z	200	added ('OK')	image/svg+xml	etag:%2218be-6628ef45-40043625635a8b99;gz%22	https://html.themewant.com/studykids/assets/images/icon/quote.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/quote.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:14	11692/11692	---M-Z	200	added ('OK')	image/svg+xml	etag:%222dac-6628ef45-5344aa137ce9aef8;gz%22	https://html.themewant.com/studykids/assets/images/icon/26.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/26.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:14	7175/7175	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c07-6628ef45-3b494134edb27f4b;gz%22	https://html.themewant.com/studykids/assets/images/icon/27.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/27.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:14	4830/4830	---M-Z	200	added ('OK')	image/svg+xml	etag:%2212de-6628ef45-bc5fb1536fa0a45e;gz%22	https://html.themewant.com/studykids/assets/images/icon/28.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/28.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:15	14286/14286	---M-Z	200	added ('OK')	image/svg+xml	etag:%2237ce-6628ef45-2574330f24ab9e43;gz%22	https://html.themewant.com/studykids/assets/images/icon/29.svg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/icon/29.svg	(from https://html.themewant.com/studykids/index-four.html)
10:07:15	5488/5488	---M--	200	added ('OK')	image/png	etag:%221570-6628ef45-51f7c547b642b898;;;%22	https://html.themewant.com/studykids/assets/images/students-feedback/21.png	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/students-feedback/21.png	(from https://html.themewant.com/studykids/index-four.html)
10:07:15	4296/4296	---M--	200	added ('OK')	image/png	etag:%2210c8-6628ef45-1ec1e66b2fef8760;;;%22	https://html.themewant.com/studykids/assets/images/students-feedback/22.png	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/students-feedback/22.png	(from https://html.themewant.com/studykids/index-four.html)
10:07:16	140797/140797	---M--	200	added ('OK')	image/jpeg	etag:%22225fd-6628ef45-cca17d3d0efa59c8;;;%22	https://html.themewant.com/studykids/assets/images/course/20.jpg	C:/My%20Web%20Sites/LearnEasy/html.themewant.com/studykids/assets/images/course/20.jpg	(from https://html.themewant.com/studykids/index-four.html)
